Company_name,booth,address,city_zip,categories
Renewal by Andersen of Central NC,501,4250 Regency Drive,"Greensboro, NC 27410","Windows, Window Coverings, Screens, Doors"
REM Sleep Solutions,219,,,"Home Décor, Art, Interior Design, Furnishings"
Raleigh Specific Chiropractic,227,7721 Six Forks Road,"Raleigh, NC 27615",Miscellaneous
Re-Bath of the Triangle,519,6570 Glenwood Avenue,"Raleigh, NC 27612",FREE Design Ideas and Estimates
Real Time Pain Relief,1418,,"Charlotte, NC 28262","Recreation, Pool and Spa, Health and Wellness, Fitness"
Raleigh Door Center,1420,2801 Industrial Drive,"Raleigh, NC 27609","Windows, Window Coverings, Screens, Doors"
Prestige Products Direct,1037,,,"Heating, Air Conditioning, Ventilation"
"Prime Energy Group, LLC",1314,3222 Wellington Ct.,"Raleigh, NC 27615","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
"Quality Design & Construction, Inc.",500,3823 Junction Blvd.,"Raleigh, NC 27603","Kitchen, Bath"
Porch Conversion,806,6821 Market Street,"Wilmington, NC 28405","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Prestige Products,1225,,,"Heating, Air Conditioning, Ventilation"
Plantenders,96,,,"Garden, Decks, Patios, Landscape, Outdoors"
Poole's Plumbing,618,3708-101 Conquest Drive,"Garner, NC 27529","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Passanante's,904,,,"Food, Beverage"
"Patio Enclosures, Inc. of Raleigh",201,1030 Morrisville Pkwy,"Morrisville, NC 27560","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Phantom Screens,813,1517 Buckhorn Rd.,"Mebane, NC 27302","Windows, Window Coverings, Screens, Doors"
Oceane,1031,,,"Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
Paradise Grilling Systems,1201,,,"Garden, Decks, Patios, Landscape, Outdoors"
